Topic,Stance,Argument
Increasing security by sacrificing individual privacy,in favor,"{
  ""character attack premise"": ""Persons who advocate for increasing security by sacrificing individual privacy are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for increasing security by sacrificing individual privacy should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Cryptocurrencies,in favor,"{
  ""character attack premise"": ""Persons who advocate for cryptocurrencies are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for cryptocurrencies should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Censorship in social networks,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for censorship in social networks should not be accepted.""
}"
Terraplanism,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that terraplanism should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Terraplanism should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Renewable energy,against,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that renewable energy undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that renewable energy undermines the value of human life."",
  ""conclusion"": ""Renewable energy undermines the value of human life.""
}"
Electric transport,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that electric transport is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Electric transport is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Euthanasia,in favor,"{
  ""character attack premise"": ""Persons who advocate for euthanasia are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for euthanasia should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Mandatory vaccination in pandemic,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that mandatory vaccination in pandemic is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Mandatory vaccination in pandemic is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Physical appearance for personal success,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that physical appearance for personal success should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Physical appearance for personal success should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Intermittent fasting,in favor,"{
  ""character attack premise"": ""Persons who advocate for intermittent fasting are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for intermittent fasting should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Capital punishment,in favor,"{
  ""character attack premise"": ""Persons who advocate for capital punishment are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for capital punishment should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Animal testing,against,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that animal testing undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that animal testing undermines the value of human life."",
  ""conclusion"": ""Animal testing undermines the value of human life.""
}"
Climate change,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that climate change is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Climate change is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Legalisation of cannabis,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for legalisation of cannabis should not be accepted.""
}"
Abortion,against,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that abortion undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that abortion undermines the value of human life."",
  ""conclusion"": ""Abortion undermines the value of human life.""
}"
Freedom of speech,in favor,"{
  ""character attack premise"": ""Persons who advocate for freedom of speech are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for freedom of speech should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Tax increase,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that tax increase is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Tax increase is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Animal/human cloning,in favor,"{
  ""character attack premise"": ""Persons who advocate for animal/human cloning are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for animal/human cloning should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Research in artificial intelligence,in favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that research in artificial intelligence is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Research in artificial intelligence can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Nuclear energy,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that nuclear energy is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Nuclear energy is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Use of online social networks,against,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that use of online social networks undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that use of online social networks undermines the value of human life."",
  ""conclusion"": ""Use of online social networks undermines the value of human life.""
}"
Gun control,in favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that gun control is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Gun control can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Universal basic pension,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that universal basic pension is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Universal basic pension is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Gender quotas,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that gender quotas is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Gender quotas is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Genetic manipulation,in favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that genetic manipulation is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Genetic manipulation can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Reduction in working time,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that reduction in working time should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Reduction in working time should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Remote work,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that remote work should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Remote work should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Increasing security by sacrificing individual privacy,in favor,"{
  ""character attack premise"": ""Persons who advocate for increasing security by sacrificing individual privacy are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for increasing security by sacrificing individual privacy should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Cryptocurrencies,in favor,"{
  ""character attack premise"": ""Persons who advocate for cryptocurrencies are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for cryptocurrencies should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Censorship in social networks,in favor,"{
  ""character attack premise"": ""Persons who advocate for censorship in social networks are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for censorship in social networks should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Terraplanism,in favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that terraplanism is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Terraplanism can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Renewable energy,in favor,"{
  ""character attack premise"": ""Persons who advocate for renewable energy are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for renewable energy should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Electric transport,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that electric transport is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Electric transport is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Euthanasia,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for euthanasia should not be accepted.""
}"
Mandatory vaccination in pandemic,in favor,"{
  ""character attack premise"": ""Persons who advocate for mandatory vaccination in pandemic are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for mandatory vaccination in pandemic should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Physical appearance for personal success,in favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that physical appearance for personal success is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Physical appearance for personal success can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Intermittent fasting,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for intermittent fasting should not be accepted.""
}"
Capital punishment,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that capital punishment is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Capital punishment is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Animal testing,in favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that animal testing is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Animal testing can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Climate change,in favor,"{
  ""character attack premise"": ""Persons who advocate for climate change are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for climate change should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Legalisation of cannabis,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for legalisation of cannabis should not be accepted.""
}"
Abortion,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that abortion should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Abortion should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Freedom of speech,in favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that freedom of speech is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Freedom of speech can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Tax increase,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for tax increase should not be accepted.""
}"
Animal/human cloning,against,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that animal/human cloning undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that animal/human cloning undermines the value of human life."",
  ""conclusion"": ""Animal/human cloning undermines the value of human life.""
}"
Research in artificial intelligence,in favor,"{
  ""character attack premise"": ""Persons who advocate for research in artificial intelligence are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for research in artificial intelligence should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Nuclear energy,in favor,"{
  ""character attack premise"": ""Persons who advocate for nuclear energy are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for nuclear energy should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Use of online social networks,in favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that use of online social networks is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Use of online social networks can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Gun control,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that gun control is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Gun control is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Universal basic pension,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that universal basic pension should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Universal basic pension should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Gender quotas,in favor,"{
  ""character attack premise"": ""Persons who advocate for gender quotas are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for gender quotas should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Genetic manipulation,against,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that genetic manipulation undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that genetic manipulation undermines the value of human life."",
  ""conclusion"": ""Genetic manipulation undermines the value of human life.""
}"
Reduction in working time,in favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that reduction in working time is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Reduction in working time can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Remote work,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for remote work should not be accepted.""
}"
Increasing security by sacrificing individual privacy,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for increasing security by sacrificing individual privacy should not be accepted.""
}"
Cryptocurrencies,against,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that cryptocurrencies undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that cryptocurrencies undermines the value of human life."",
  ""conclusion"": ""Cryptocurrencies undermines the value of human life.""
}"
Censorship in social networks,in favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that censorship in social networks is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Censorship in social networks can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Terraplanism,in favor,"{
  ""character attack premise"": ""Persons who advocate for terraplanism are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for terraplanism should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Renewable energy,in favor,"{
  ""character attack premise"": ""Persons who advocate for renewable energy are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for renewable energy should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Electric transport,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that electric transport is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Electric transport is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Euthanasia,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that euthanasia should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Euthanasia should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Mandatory vaccination in pandemic,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that mandatory vaccination in pandemic should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Mandatory vaccination in pandemic should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Physical appearance for personal success,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for physical appearance for personal success should not be accepted.""
}"
Intermittent fasting,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that intermittent fasting is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Intermittent fasting is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Capital punishment,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for capital punishment should not be accepted.""
}"
Animal testing,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that animal testing is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Animal testing is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Climate change,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for climate change should not be accepted.""
}"
Legalisation of cannabis,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that legalisation of cannabis should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Legalisation of cannabis should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Abortion,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that abortion is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Abortion is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Freedom of speech,in favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that freedom of speech is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Freedom of speech can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Tax increase,in favor,"{
  ""character attack premise"": ""Persons who advocate for tax increase are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for tax increase should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
